,Category,Note
0,transportation,train 2 place 5 to place 0
1,food,snacks idli medu vada mix 2 plates
2,subscription,netflix 1 month subscription
3,subscription,mobile service provider data booster pack
4,entertainment,ganesh pujan ganesh idol
5,subscription,tata sky permanent residence - tata play recharge
6,transportation,auto place 2 station to permanent residence
7,transportation,train 2 place 0 to place 3
9,food,grocery 1kg atta
12,subscription,mobile service provider data booster pack
13,food,lunch home food delivery
15,food,milk half lit  milk
16,food,milk half lit  milk
18,food,milk half lit  milk
20,food,snacks amul butter
21,shopping,laundry 11 clothes ironing
22,food,snacks chinese bhel
23,food,snacks shev puri
24,food,snacks 2 kachori
25,food,milk half lit  milk
26,food,breakfast bread
32,food,dinner domino's pizza
34,food,milk half lit  milk
35,food,sweets warna srikhand pav kg
36,household,kirana supermart
37,food,grocery baking soda
38,food,ice cream chocobar
39,food,milk half lit  milk
42,food,curd dahi 2 packets
43,food,breakfast 2 plates poha
44,food,biscuits khari packet
45,food,milk half lit  milk
47,shopping,laundry 13 clothes ironing
48,food,dinner home food delivery
50,food,rajgira ladu 
51,food,milk half lit  milk
52,entertainment,navratri ganpati+ navratri vargani
53,transportation,train 2 place 2 to place 3 : sevagram express 3ac
54,transportation,train 2 place 3 to place 2 : amritsar express 3ac
55,food,lunch catering service
56,food,milk half lit  milk
58,food,tea cutting chai
59,food,milk half lit  milk
60,subscription,netflix 1 month subscription
61,food,curd dahi 2 packets
62,food,milk half lit  milk
64,subscription,tata sky permanent residence - tata play recharge
65,food,sweets warna srikhand half kg
66,food,flour mill m d sure 4kg atta
69,food,snacks dahi
70,household,kirana toothpaste patanjali
71,shopping,laundry 8 clothes ironing
72,food,ice cream vanila family pack
73,household,appliances 5 litres can distilled water
74,household,home decor brass puja plate and diva
75,food,grocery half kg lahsoon
76,household,kirana supermart
77,food,ice cream vanila cup
78,food,ice cream chocobar
81,food,snacks 8 kachori
84,shopping,grooming hair cut
86,food,tea cutting chai
87,health,health eyewear glasses payment remaining
88,shopping,clothing for family
89,transportation,train place 0 to place 4 return
90,transportation,auto current residence to place 0
95,household,kirana supermart
96,food,flour mill m d sure 4kg atta
97,health,health eyewear glasses advance
101,shopping,laundry 13 clothes ironing
104,food,chocolate 10 melody
106,health,medicine glucose d(50) + flora bc (40)+cyra 20(10)
107,health,medicine 
108,food,lunch catering service
109,food,breakfast 1 plates poha
110,food,eating out paneer pizza
111,transportation,auto decathlon place a to place a station
112,transportation,auto current residence to place 0
113,transportation,train 2 place 0 to place a returns
114,food,breakfast medu vada 3 plate
116,entertainment,movie 2 inox 
117,food,vegetables 
118,household,kirana supermart
120,food,biscuits toast packet
122,subscription,tata sky current residence - tata play recharge
123,food,breakfast 4 plates poha
124,household,kirana supermart
125,food,fruits khajur pav kg
126,food,snacks 2 bhajipav + 2 vadapav
127,food,biscuits toast packet
128,food,ice cream chocobar
129,food,potato potato 1kg
130,food,onions onion 1 kg
131,transportation,taxi ola cab - eye institute to current residence chs
132,health,medicine cataract medicine
133,health,medicine cataract medicine
134,food,curd dahi 4 packets
135,food,flour mill m d sure 4kg atta
136,shopping,laundry 12 clothes ironing
137,household,hardware sony wi-c100 earphones wireless
138,food,snacks 7 kachori
139,food,fruits 
140,food,vegetables 
141,food,snacks 4 kachori
143,transportation,taxi ola cab - eye institute to current residence chs
144,health,medicine cataract medicine
147,food,eggs 6 eggs
148,food,bread 2 bread packets
150,transportation,petrol 3.4 lit petrol
151,food,biscuits toast packet
152,food,grocery shev bhaji sev pav kg
153,transportation,taxi ola cab - eye institute to current residence chs
154,food,tea 3 cutting chai
155,health,medicine eye drop
156,health,hospital hospital consultation
157,transportation,taxi ola cab - current residence chs to eye institute
158,transportation,taxi to and fro cab fare contribution
159,transportation,train place 4 to place 0
160,food,lunch at restaurant
161,subscription,mahanagar gas 
163,food,dinner at restaurant
164,transportation,taxi park inn goa
165,transportation,auto terminal 1 to terminal 2
166,food,tea cutting chai
167,transportation,auto current residence to place 0
168,transportation,train place 0 to place p
169,health,hospital doctor fees
170,shopping,grooming shaving
172,health,lab tests 2 thyroid (1000) + cholesterol (220) + uric acid (220)
174,food,milk half lit  milk
175,subscription,tata sky current residence - tata play recharge
178,household,kirana supermart
179,transportation,auto place 1 bridge to current residence 2 seats
180,transportation,bus 2 place 6 stand to ms
181,household,home decor face towels + shampoo
182,transportation,bus 2 place 1 to  mall
183,transportation,auto current residence to place 1 bus stop highway
184,entertainment,movie 2 pvr 
185,transportation,travels 2 place 2 to place 1 - shree sharma travels
186,food,snacks vadapav
187,shopping,clothing undergarments pair of jockey
188,shopping,laundry clothes ironing
189,food,milk milk 1lit 
192,household,appliances aqugurad prv
197,household,hardware tulsi plant+ pot
198,household,kitchen math tap repair
199,household,appliances 3 bulbs 3 pencil cells
200,food,dinner home food delivery
201,food,snacks bhaji + vadapav + kachori+ tea
202,transportation,taxi vadala road to nehru planetarium
203,shopping,footwear mast & harbour slides
206,food,tea 2 cups
207,household,gadgets mobile cover real mi note pro
209,household,gadgets mouse pad
210,shopping,accessories purse
211,shopping,footwear rainy season chappal
212,transportation,auto place p station to alfa market
213,transportation,train 2 place 0 to place p return
214,transportation,auto 2 current residence to place 0
216,transportation,auto 2 place 0 to current residence
217,household,kirana supermart
218,household,appliances aqugurad water purifier
219,household,hardware umbrella handle repair
220,transportation,train place 0 to place 4 return
221,food,tea 2 cutting chai
222,food,snacks bhaji + vadapav
223,food,lunch home food delivery
224,household,kirana smart point
225,transportation,auto 2 place 0 to current residence
226,food,breakfast bread
227,food,milk milk 1lit 
228,health,health suppliemnts
229,transportation,train 2 place 5 to place 0
230,subscription,tata sky permanent residence - tata play recharge
231,food,snacks 2 vadapav 2 samosa pav
232,subscription,mobile service provider annual recharge
233,transportation,auto 
234,subscription,mobile service provider data booster pack
236,subscription,mobile service provider data booster pack
237,subscription,mobile service provider data booster pack
239,subscription,mobile service provider data booster pack
240,transportation,train 2cc place 2 to ddr spl train
243,food,eggs 12 eggs
245,household,home decor sofa covers
246,subscription,mobile service provider data booster pack
252,subscription,mobile service provider data booster pack
253,shopping,grooming hair cut
255,household,kirana soap + dahya pav kg
256,transportation,auto permanent residence to motor driving school
257,subscription,mobile service provider data booster pack
258,subscription,tata sky permanent residence - tata play recharge
259,health,health 2 all out refill
263,household,kitchen flour mill
264,subscription,mobile service provider data booster pack
265,subscription,mobile service provider data booster pack
266,food,ice cream cookies & cream family pack
267,transportation,auto within city
268,household,appliances lg washing machine
269,transportation,auto permanent residence to gh road
271,subscription,mobile service provider data booster pack
273,transportation,auto place 2 station to permanent residence
274,food,snacks potato chips
275,food,fruits 2 dozens mango + 1kg litchi
276,transportation,train 2 place 0 to place 3
277,transportation,auto 2 current residence to place 0
278,shopping,laundry clothes ironing
283,food,dinner domino's pizza
284,food,lunch catering service
285,food,snacks 4 kachori
286,food,milk milk 1lit 
287,food,rajgira ladu 1 packet
288,food,ice cream 2 faluda
290,subscription,newspaper mata + toi + et
291,food,biscuits toast packet
292,food,milk half lit  milk
293,subscription,netflix 
294,food,sweets kaju katli half kg
295,food,milk milk 1lit 
296,shopping,grooming shaving
